"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA38929";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli B799";"Pathogen";"Animal Pathogen, Medical, Swine Pathogen";"Diarrhea";"";"";"Host, Human intestinal microflora";"Escherichia coli genome sequencing - Broad Institute";TRUE;TRUE
"PRJNA60705";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus CIGC128";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"Human";"Host";"Staphylococcus aureus aureus genomes";TRUE;TRUE
"PRJNA12460";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Propionibacteriaceae";"Propionibacterium";"Propionibacterium acnes";"Propionibacterium acnes KPA171202 (re-annotation)";"Pathogen";"Human Pathogen, Medical";"Acne";"Homo sapiens";"Human";"Host, Human skin";"Propionibacterium acnes KPA171202";TRUE;TRUE
"PRJNA50419";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus constellatus";"Streptococcus constellatus pharyngis C818";"";"Medical";"Cystic Fibrosis";"Homo sapiens";"Human";"Host, Human oral cavity";"Streptococcus constellatus pharyngis C818";TRUE;TRUE
"PRJNA17957";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae sv. 3 SP3-BS71";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host, Nasopharyngeal microflora";"Comparative genomic analyses of seventeen Streptococcus pneumoniae strains: insights into the pneumococcal supragenome";TRUE;TRUE
"PRJNA53319";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori SouthAfrica7";"Pathogen";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"";"Host, Human stomach";"Genome sequencing of Helicobacter pylori, Washington University Medical School";TRUE;TRUE
"PRJNA50799";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae SPN994038";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"";"Host";"Streptococcus pneumoniae SPN strains, WTSI";TRUE;TRUE
"PRJNA53775";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus lugdunensis";"Staphylococcus lugdunensis VCU139";"";"Medical";"Pneumonia, Septicemia";"";"";"Host, Human airways";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA32935";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus casseliflavus";"Enterococcus casseliflavus EC20";"Pathogen";"Human Pathogen, Medical";"Nocosomial infection, Opportunistic infection";"Homo sapiens";"";"Host, Wastewater";"Enterococcus -  Broad Institute";TRUE;TRUE
"PRJNA32793";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria gonorrhoeae";"Neisseria gonorrhoeae FA19";"";"Medical";"Gonorrhea";"Homo sapiens";"";"Host";"Neisseria gonorrhoeae Genome sequencing Project";TRUE;TRUE
"PRJNA31307";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus 03BB102";"Pathogen";"Biothreat, Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host, Soil";"Bacillus cereus sequencing, JCVI";TRUE;TRUE
"PRJNA68835";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis NM220";"";"Medical";"Meningitis";"Homo sapiens";"Human";"Respiratory tract";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
"PRJNA53641";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus 21259";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJEA49035";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Simkaniaceae";"Simkania";"Simkania negevensis";"Simkania negevensis Z, ATCC VR-1471";"Pathogen";"Human Pathogen, Medical";"Bronchiolitis, Pneumonia, Respiratory infection";"Homo sapiens";"Lab synthesis";"Host, Wastewater";"Simkania negevensis Z";TRUE;TRUE
"PRJNA20835";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Pseudonocardiaceae";"Saccharomonospora";"Saccharomonospora viridis";"Saccharomonospora viridis P101, DSM 43017";"Pathogen";"GEBA, Human Pathogen, Medical, Tree of Life";"Farmer's lung, Hypersensitivity pneumonitis";"Homo sapiens";"Aquatic";"Bog, Wetland";"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)";TRUE;TRUE
"PRJNA72665";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis Nm8663";"Parasite";"Medical";"Meningitis";"Homo sapiens";"Animal";"Host";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
